lncRNA,score
RP11-849H4.4,0.436392011
A1BG-AS1,0.436385773
RP5-1120P11.1,0.436370181
GAS6-AS1,0.436363944
RP11-316M1.3,0.436360826
RP5-1074L1.1,0.436338999
RP11-108M21.1,0.436329645
RP11-473M20.7,0.436326528
RP11-120D5.1,0.43632341
LINC00355,0.436317174
RP11-197P3.4,0.436314057
AC131097.3,0.436310939
RP11-332H18.5,0.436282883
RP11-638I2.4,0.436273532
RP11-381P6.1,0.436273532
INTS6-AS1,0.436270415
U52111.14,0.436264181
RP11-516C1.1,0.436257947
RP11-481C4.1,0.43625483
AGAP1-IT1,0.436251714
CTD-2012K14.6,0.436248597
RP11-278A23.2,0.43624548
RP11-75N4.2,0.436233014
CTA-360L10.1,0.436229898
FLG-AS1,0.436226782
AC156455.1,0.436226782
RP11-203J24.9,0.436214316
CTC-273B12.8,0.436208084
RP11-118M9.3,0.436201852
AC009299.2,0.43619562
MATR3,0.436192504
NYX,0.436186273
LOC100506548,0.436183157
RP11-410N8.1,0.436183157
RP11-85K15.2,0.436180041
LINC00842,0.43617381
RP11-463D19.1,0.436170694
ASB16-AS1,0.436170694
LINC00085,0.436148887
KIF9-AS1,0.436120851
RP5-864K19.4,0.436099049
MIR4453,0.43609282
AC005540.3,0.43609282
RP11-415J8.3,0.436080362
MT-RNR2,0.436077248
RP5-1085F17.3,0.436077248
ZFHX4-AS1,0.436074134
RP11-981P6.1,0.436067906
RP11-303E16.3,0.436058563
AC006465.3,0.43605545
RP11-511B23.2,0.436042994
MFI2-AS1,0.436042994
ABCA11P,0.436036767
RP11-126O1.4,0.436024313
SPTY2D1-AS1,0.436018086
MIR4458,0.436005633
LINC00473,0.435999406
RP11-556E13.1,0.435974503
MT1X,0.435965165
CFLAR-AS1,0.435952715
N4BP2L1,0.435949603
RP11-103C16.2,0.435937153
RP5-1044H5.1,0.435934041
LOC284801,0.435927817
AL163953.3,0.435927817
RP11-356I2.4,0.435918481
RP11-973N13.4,0.435915369
AC092594.1,0.435912257
AC008781.7,0.43589981
RP13-131K19.1,0.435896698
RP13-39P12.3,0.435878029
RP11-307L3.4,0.435874918
TTC3-AS1,0.435871807
RP11-439E19.10,0.435868695
RP11-66N24.3,0.43585314
AJ003147.9,0.435846918
RP11-141M1.3,0.435837585
LINC00854,0.435834474
NONHSAG035896,0.435828253
RP11-557C18.3,0.435822032
