lncRNA,score
CCDC13,1.92E-05
MAP3K4,1.91E-05
KB-1208A12.3,1.91E-05
CTD-2247C11.1,1.91E-05
SNORD45,1.91E-05
SEPT7P2,1.90E-05
PSPC1,1.89E-05
RP11-161H23.5,1.89E-05
NONHSAG044379,1.89E-05
RP1-184J9.2,1.88E-05
RP11-834C11.5,1.88E-05
C4orf36,1.87E-05
AC004158.2,1.87E-05
SNORD3A,1.87E-05
RP3-399L15.3,1.86E-05
MTATP8P1,1.86E-05
PGAM5,1.85E-05
RP11-666E17.1,1.84E-05
GPX3,1.84E-05
EPB41L4A-AS1,1.84E-05
SNRPN,1.84E-05
RP11-977G19.5,1.83E-05
RP5-837I24.4,1.83E-05
SNORA53,1.82E-05
AC092635.1,1.82E-05
DLEC1,1.81E-05
RP11-603J24.17,1.81E-05
AC107081.5,1.80E-05
TM9SF2,1.80E-05
RP11-166B2.8,1.79E-05
RP11-3P17.4,1.79E-05
CTD-2324F15.2,1.78E-05
PTTG1IP,1.78E-05
SNORA73,1.78E-05
RP11-360P21.2,1.78E-05
RUSC1-AS1,1.78E-05
SNORD17,1.78E-05
AC096574.4,1.77E-05
RP11-84A19.4,1.77E-05
HOXB-AS1,1.77E-05
RP11-24N18.1,1.77E-05
AC004069.2,1.76E-05
AC005562.1,1.76E-05
HIPK3,1.75E-05
ATP1A1OS,1.73E-05
RP11-38P22.2,1.73E-05
RP11-227G15.3,1.73E-05
RP11-885B4.1,1.71E-05
RP11-1336O20.2,1.71E-05
SDCBP2-AS1,1.71E-05
NR2F2-AS1,1.70E-05
AC015849.19,1.70E-05
RP4-785G19.5,1.69E-05
RP11-344E13.3,1.69E-05
AC009120.6,1.69E-05
NONHSAG033244,1.69E-05
RP11-102J14.1,1.68E-05
RP1-43E13.2,1.67E-05
RP5-936J12.1,1.66E-05
FENDRR,1.66E-05
CTD-2537I9.12,1.66E-05
AP002954.4,1.66E-05
RP11-67A1.2,1.65E-05
ARL1,1.65E-05
MGC2752,1.65E-05
AC096772.6,1.65E-05
ZNF608,1.64E-05
CASC7,1.63E-05
RP11-739N20.2,1.63E-05
CTD-2659N19.10,1.63E-05
RP1-290I10.6,1.63E-05
BDNF-AS,1.62E-05
RP11-315I20.1,1.62E-05
AC016629.8,1.61E-05
RP11-206L10.8,1.61E-05
SBF2-AS1,1.61E-05
RP11-753H16.3,1.60E-05
RP11-2B6.3,1.60E-05
S100A16,1.60E-05
LINC00894,1.60E-05
LIMD1-AS1,1.60E-05
SCARNA6,1.60E-05
CTC-457E21.9,1.59E-05
CROCCP2,1.59E-05
PLA2G5,1.59E-05
LINC00969,1.59E-05
RP11-204L24.2,1.59E-05
AC015987.1,1.59E-05
RP4-803A2.2,1.58E-05
RP11-180I4.2,1.58E-05
RP11-296I10.3,1.58E-05
TMEM161B-AS1,1.58E-05
WT1-AS,1.57E-05
AC007319.1,1.57E-05
TGFB1I1,1.57E-05
AC010226.4,1.55E-05
LUCAT1,1.55E-05
RP11-54O7.14,1.55E-05
CTA-217C2.1,1.55E-05
RP11-1017G21.4,1.54E-05
CTB-12A17.3,1.54E-05
CTB-175E5.7,1.53E-05
RP11-69L16.4,1.53E-05
PMS2CL,1.53E-05
RP11-544A12.4,1.53E-05
PRC1-AS1,1.53E-05
AC104389.28,1.52E-05
RP11-355B11.2,1.51E-05
AC007246.3,1.51E-05
RP11-571M6.7,1.51E-05
RP11-950C14.7,1.50E-05
RP3-508I15.18,1.50E-05
NONHSAG017678,1.50E-05
CTD-2201E18.3,1.50E-05
Z97634.5,1.50E-05
DLAT,1.49E-05
TPTEP1,1.49E-05
RP11-580I16.2,1.48E-05
AC002055.4,1.48E-05
RP11-453F18__B.1,1.47E-05
NONHSAG053814,1.47E-05
RP5-940J5.6,1.47E-05
RP11-418J17.1,1.47E-05
RP11-703M24.5,1.47E-05
LINC00534,1.47E-05
SHISA4,1.47E-05
VIM-AS1,1.46E-05
NONHSAG002378,1.46E-05
RP11-115D19.1,1.46E-05
STAG3L5P,1.46E-05
CTD-2377D24.6,1.46E-05
TTN-AS1,1.46E-05
KLRAP1,1.46E-05
RP11-498C9.2,1.45E-05
GABPB1-AS1,1.44E-05
BOK-AS1,1.44E-05
RP11-849F2.5,1.43E-05
RP5-1142A6.2,1.43E-05
RP11-362A9.3,1.43E-05
RP4-622L5.2,1.43E-05
ENTPD1-AS1,1.43E-05
AC005307.3,1.43E-05
RP5-991G20.1,1.43E-05
SAP30L-AS1,1.43E-05
AC005154.5,1.42E-05
LOC100270804,1.42E-05
RP4-781K5.2,1.42E-05
TPT1-AS1,1.42E-05
RP11-638I2.8,1.42E-05
AC016831.7,1.41E-05
RP11-269F19.2,1.41E-05
SPAG5-AS1,1.41E-05
RP4-724E16.2,1.41E-05
CTD-2571L23.8,1.41E-05
