Official Symbol Interactor A,Official Symbol Interactor B
Baz2a,Smarca5
Hdac1,Rb1
Hdac1,Myod1
Hdac1,Rela
Hdac1,Nfkb1
Hdac1,Xpo1
Hdac1,Kif2a
Hdac1,Smad4
Hdac1,Yy1
Hdac1,Nanog
Hdac1,Ubtf
Hdac1,Sin3a
Hdac1,Hdac2
Hdac1,Sp3
Hdac1,Sin3b
Hdac1,Brms1
Hdac1,Klf6
Hdac1,Ccne1
Hdac1,Mad1l1
Hdac1,Ccnd1
Hdac1,Hdac9
Hdac1,Pdx1
Hdac1,Sp1
Hdac1,Phb2
Hdac1,Sox2
Hdac1,Cebpb
Hdac1,Kdm5b
Hdac1,Zfp932
Hdac1,Satb2
Hdac1,Ets1
Hdac1,Rbbp4
Hdac1,Mta2
Hdac1,Mta1
Hdac1,Gsc
Hdac1,Tle1
Hdac1,Ezh2
Hdac1,Hist4h4
Hdac1,Daxx
Hdac1,Zbtb7b
Rb1,Hdac1
Rb1,Smarca4
Rb1,Hmga2
Rb1,Psmd10
Rb1,Rbak
Rb1,Neurod1
Rb1,Cebpb
Rb1,Morf4l1
Rb1,Mrfap1
Rb1,Jarid2
Rb1,Pax2
Rb1,Prkcb
Rb1,Abt1
Rb1,Ajuba
Rb1,Arnt
Rb1,Crebbp
Rb1,Deaf1
Rb1,Epas1
Rb1,Ncor1
Rb1,Nfix
Rb1,Nr4a3
Rb1,Pax8
Rb1,Pou2f3
Rb1,Rarg
Rb1,Rbl1
Rb1,Rbl2
Rb1,Rcor2
Rb1,Smyd2
Rb1,Snapc1
Rb1,Tfdp1
Rb1,Wwtr1
Rb1,Yap1
Rela,Hdac1
Rela,Srebf1
Rela,Zmynd11
Rela,Cxxc1
Rela,Ankrd7
Rela,Cers2
Rela,Brpf1
Rela,Ankrd33
Rela,Pias3
Rela,Zdhhc13
Rela,Ep300
Rela,Hdac6
Rela,Nfkbia
Rela,Crebbp
Rela,Sp1
Rela,Jun
Rela,Ctnnb1
Rela,Nfkb2
Rela,Fem1a
Rela,Pparg
Rela,Commd10
Rela,Commd5
Rela,Fbxw11
Nfkb1,Hdac1
Nfkb1,Nfkb2
Nfkb1,Relb
Nfkb1,Zfp276
Nfkb1,Nfkbiz
Nfkb1,Gmeb2
